,C ID,C B1,C B2,C B3,C B4,C B5,C B6,C B7,C B8,F ID,F B1,F B2,F B3,F B4,F B5,F B6,F B7,F B8
81,418321152,133,7,25,21,0,0,0,0,435158803,186,200,7,5,193,255,255,255
82,418321152,111,7,25,21,0,0,0,0,435158803,157,8,8,5,193,255,255,255
83,418321152,81,7,25,21,0,0,0,0,435158803,123,72,8,5,193,255,255,255
84,418321152,50,7,25,21,0,0,0,0,435158803,90,72,8,5,193,255,255,255
85,418321152,18,7,25,21,0,0,0,0,435158803,59,72,8,5,193,255,255,255
86,418321152,242,6,25,21,0,0,0,0,435158803,24,72,8,5,193,255,255,255
87,418321152,203,6,25,21,0,0,0,0,435158803,248,71,8,5,193,255,255,255
88,418321152,178,6,25,21,0,0,0,0,435158803,217,71,8,5,193,255,255,255
89,418321152,146,6,25,21,0,0,0,0,435158803,181,71,8,5,193,255,255,255
90,418321152,104,6,25,21,0,0,0,0,435158803,149,7,8,5,193,255,255,255
91,418321152,72,6,25,21,0,0,0,0,435158803,119,7,8,5,193,255,255,255
92,418321152,48,6,25,21,0,0,0,0,435158803,83,7,8,5,193,255,255,255
93,418321152,11,6,25,21,0,0,0,0,435158803,53,7,8,5,193,255,255,255
94,418321152,226,5,25,21,0,0,0,0,435158803,21,7,8,5,193,255,255,255
95,418321152,201,5,25,21,0,0,0,0,435158803,242,6,8,5,193,255,255,255
96,418321152,172,5,25,21,0,0,0,0,435158803,212,6,8,5,193,255,255,255
97,418321152,139,5,25,21,0,0,0,0,435158803,179,6,8,5,193,255,255,255
98,418321152,98,5,25,21,0,0,0,0,435158803,144,6,8,5,193,255,255,255
99,418321152,74,5,25,21,0,0,0,0,435158803,115,6,8,5,193,255,255,255
100,418321152,33,5,25,21,0,0,0,0,435158803,80,6,8,5,193,255,255,255
101,418321152,16,5,25,21,0,0,0,0,435158803,46,6,8,5,193,255,255,255
102,418321152,222,8,25,21,0,0,0,0,435158803,16,198,7,5,193,255,255,255
103,418321152,199,8,25,21,0,0,0,0,435158803,245,197,5,1,193,255,255,255
104,418321152,162,8,25,21,0,0,0,0,435158803,243,197,5,5,193,255,255,255
105,418321152,136,8,25,21,0,0,0,0,435158803,14,70,6,5,193,255,255,255
106,418321152,97,8,25,21,0,0,0,0,435158803,50,6,7,5,193,255,255,255
107,418321152,76,8,25,21,0,0,0,0,435158803,83,70,7,5,193,255,255,255
108,418321152,36,8,25,21,0,0,0,0,435158803,114,70,7,5,193,255,255,255
109,418321152,15,8,25,21,0,0,0,0,435158803,152,70,7,5,193,255,255,255
110,418321152,232,3,25,21,0,0,0,0,435158803,184,70,7,5,193,255,255,255
111,418321152,213,3,25,21,0,0,0,0,435158803,208,70,5,1,193,255,255,255
112,418321152,178,3,25,21,0,0,0,0,435158803,215,134,5,5,193,255,255,255
113,418321152,152,3,25,21,0,0,0,0,435158803,182,134,6,5,193,255,255,255
114,418321152,131,3,25,21,0,0,0,0,435158803,151,70,7,5,193,255,255,255
115,418321152,99,3,25,21,0,0,0,0,435158803,120,198,7,5,193,255,255,255
116,418321152,72,3,25,21,0,0,0,0,435158803,84,198,7,5,193,255,255,255
117,418321152,55,3,25,21,0,0,0,0,435158803,53,6,8,5,193,255,255,255
118,418321152,25,3,25,21,0,0,0,0,435158803,21,6,8,5,193,255,255,255
119,418321152,7,3,25,21,0,0,0,0,435158803,241,5,8,5,193,255,255,255
